image_path,true_label,pred_label,confidence,correct,gradcam_focus_ratio,confidence_explanation_reliability_score
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (19).jpg,malignant,malignant,0.8194519877433777,True,1.0,0.819452
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (545).jpg,malignant,malignant,0.9634611010551453,True,1.0,0.9634611
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (383).jpg,normal,normal,0.7764168381690979,True,1.0,0.77641684
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (146).jpg,normal,normal,0.7948034405708313,True,1.0,0.79480344
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (279).jpg,malignant,malignant,0.9666693806648254,True,1.0,0.9666694
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (199).jpg,normal,normal,0.7155038714408875,True,1.0,0.7155039
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (501).jpg,malignant,normal,0.6232841610908508,False,1.0,0.62328416
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (346).jpg,malignant,malignant,0.9870012998580933,True,1.0,0.9870013
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (130).jpg,malignant,normal,0.42638447880744934,False,1.0,0.42638448
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (342).jpg,malignant,malignant,0.9085832238197327,True,1.0,0.9085832
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (51).jpg,benign,normal,0.673042893409729,False,1.0,0.6730429
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (305).jpg,malignant,malignant,0.6078484058380127,True,1.0,0.6078484
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (246).jpg,malignant,malignant,0.9844973087310791,True,0.9926854,0.97729605
data/raw/The IQ-OTHNCCD lung cancer dataset/Normal cases/Normal case (230).jpg,normal,normal,0.8073474764823914,True,1.0,0.8073475
data/raw/The IQ-OTHNCCD lung cancer dataset/Bengin cases/Bengin case (24).jpg,benign,benign,0.8719781637191772,True,1.0,0.87197816
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (161).jpg,malignant,malignant,0.43405628204345703,True,1.0,0.43405628
data/raw/The IQ-OTHNCCD lung cancer dataset/Malignant cases/Malignant case (502).jpg,malignant,normal,0.4460148513317108,False,1.0,0.44601485
